N,P,K,temperature,humidity,pH,rainfall,label,category
60.34,42.36,72.29,31.73,69.49,6.57,61.5,Bitter Gourd,Vegetables
38.57,33.36,48.21,20.89,59.83,6.9,48.03,Fenugreek,Spices & Herbs
80.8,55.88,59.87,22.27,62.3,6.93,61.12,Spinach,Vegetables
45.34,35.06,58.5,13.76,71.36,6.64,73.34,Gooseberry,Fruits
70.7,48.78,86.62,26.63,69.66,5.91,111.21,Longan,Fruits
84.85,58.17,76.17,25.85,77.3,6.58,157.91,Ginger,Cash Crops
70.01,58.52,74.74,9.13,70.7,7.16,120.79,Pear,Fruits
67.83,58.71,89.13,18.94,52.13,6.95,51.7,Garlic,Vegetables
43.56,29.89,27.4,20.92,48.03,7.57,52.93,Ajwain,Spices & Herbs
99.76,42.03,75.09,29.89,78.3,5.36,112.29,Napier Grass,Fodder Crops
79.09,64.21,83.28,21.58,64.66,7.2,51.78,Zucchini,Vegetables
48.49,33.13,32.83,26.6,65.28,6.53,88.98,Niger Seed,Oilseeds
31.2,49.06,64.66,18.77,52.52,7.27,51.19,Alfalfa,Fodder Crops
26.17,30.53,34.84,29.66,42.15,6.43,38.4,Moth Bean,Pulses & Legumes
81.18,49.22,68.06,22.28,61.83,7.32,66.05,Zucchini,Vegetables
38.33,28.91,39.0,21.05,55.37,6.93,54.94,Fenugreek,Spices & Herbs
79.26,52.77,80.04,29.66,78.77,6.66,169.25,Ginger,Cash Crops
41.61,23.08,30.67,15.68,48.72,6.55,35.6,Teff,Cereals & Grains
27.55,55.01,48.04,17.24,57.37,7.0,58.09,Faba Bean,Pulses & Legumes
52.54,32.87,48.33,30.62,53.94,6.43,126.27,Cashew,Plantation Crops
63.19,38.47,88.34,21.6,75.95,6.17,255.61,Mangosteen,Fruits
54.6,29.03,43.75,27.64,34.61,7.62,80.0,Olive,Fruits
126.09,66.03,78.07,24.89,56.7,6.66,75.1,Sweet Corn,Vegetables
75.32,37.42,40.22,8.83,60.35,6.48,59.64,Rye,Cereals & Grains
66.19,32.4,37.77,29.7,48.23,6.78,47.27,Sorghum,Cereals & Grains
